"PDB","Virus","Variant","Domain","Antibody","Receptor/Other","Resolution","Release Date","Reference"
"7oao","SARS-CoV-2","null","RBD","C5","null","1.5","2021-08-11","34552091"
"7oan","SARS-CoV-2","Orig","full","C5","null","3.0","2021-08-11","null"
"7n9t","SARS-CoV-2","none","full","Nb17","null","3.18","2021-08-11","null"
"7mej","SARS-CoV-2","Orig","RBD","Nb21, Nb36","null","3.55","2021-08-11","null"
"7me7","SARS-CoV-2","Orig","RBD","Nb17, Nb105","null","3.73","2021-08-11","null"
"7mdw","SARS-CoV-2","Orig","RBD","Nb21, Nb105","null","3.58","2021-08-11","null"
"7ral","SARS-CoV-2","none","RBD","S2X259","null","3.7","2021-08-04","34280951"
"7ra8","SARS-CoV-2","none","full","S2X259","null","3.1","2021-08-04","34280951"
"7r8o","SARS-CoV-2","none","full","C548","null","3.5","2021-08-04","null"
"7r8n","SARS-CoV-2","none","full","C051","null","3.55","2021-08-04","null"
"7r8m","SARS-CoV-2","none","full","C032","null","3.4","2021-08-04","null"
"7r8l","SARS-CoV-2","Orig","RBD","C099, CR3022","null","2.6","2021-08-04","34331873"
"7p79","SARS-CoV-2","Orig","full","sybody#15","null","4.0","2021-08-04","null"
"7p78","SARS-CoV-2","Orig","full","sybody#15, sybody#68","null","3.32","2021-08-04","null"
"7p77","SARS-CoV-2","Orig","full","sybody#15, sybody#68","null","2.98","2021-08-04","null"
"7p7b","SARS-CoV-2","none","full","","null","3.13","2021-08-04","null"
"7p7a","SARS-CoV-2","none","full","sybody#68","null","4.76","2021-08-04","null"
"7n64","SARS-CoV-2","Orig","RBD","G32R7","null","4.2","2021-08-04","33758863"
"7n62","SARS-CoV-2","Orig","NTD","C12C9","null","4.0","2021-08-04","33758863"
"7n9e","SARS-CoV-2","none","full","NB34","null","3.52","2021-08-04","null"
"7n9c","SARS-CoV-2","none","full","NB95","null","3.71","2021-08-04","null"
"7n9b","SARS-CoV-2","none","full","NB21","null","3.8","2021-08-04","null"
"7n9a","SARS-CoV-2","Orig","RBD","NB21","null","3.5","2021-08-04","null"
"7n3i","SARS-CoV-2","Orig","RBD","C098","null","2.03","2021-08-04","34331873"
"7km5","SARS-CoV-2","Orig","RBD","Nanosota-1","null","3.19","2021-08-04","34338634"
"7f63","SARS-CoV-2","Orig","RBD","chAb-45","null","3.9","2021-08-04","null"
"7f62","SARS-CoV-2","Orig","RBD","chAb-25","null","3.6","2021-08-04","null"
"7coe","MERS-CoV","null","RBD","KNIH90-F1","null","2.05","2021-08-04","null"
"7mm0","SARS-CoV-2","none","full","B1-182.1","null","3.15","2021-07-28","34210892"
"7mlz","SARS-CoV-2","Orig","RBD","B1-182.1","null","3.71","2021-07-28","34210892"
"7m42","SARS-CoV-2","none","RBD","REGN10985, REGN10989","null","3.3","2021-07-28","34161776"
"7wbq","SARS-CoV-2","Delta","RBD","","ACE2","1.83","2021-07-21","34261126"
"7w9i","SARS-CoV-2","Delta","RBD","","ACE2","1.83","2021-07-21","34261126"
"7w9f","SARS-CoV-2","Delta","RBD","S-RBD-8D3","null","1.83","2021-07-21","34261126"
"7vnb","SARS-CoV-2","Orig","RBD","n3113","null","1.83","2021-07-21","34261126"
"7vmu","SARS-CoV-2","Orig","RBD","E4","null","1.83","2021-07-21","34261126"
"7tp3","SARS-CoV-2","Orig","RBD","K288.2","null","1.83","2021-07-21","34261126"
"7tow","SARS-CoV-2","Omicron BA.2","Fusion peptide","DH1058","null","1.83","2021-07-21","34261126"
"7the","SARS-CoV-2","Orig","RBD","DH1042","null","1.83","2021-07-21","34261126"
"7spp","SARS-CoV-2","Orig","RBD","","ACE2","1.83","2021-07-21","34261126"
"7spo","SARS-CoV-2","Orig","RBD","3B4","null","1.83","2021-07-21","34261126"
"7sn0","SARS-CoV-2","none","RBD","","ACE2","1.83","2021-07-21","34261126"
"7sjs","SARS-CoV","null","Stem helix","CC40.8","null","1.83","2021-07-21","34261126"
"7s4s","SARS-CoV-2","Orig","RBD","CoV11","null","1.83","2021-07-21","34261126"
"7s3n","SARS-CoV","null","Stem helix","Fab22","null","1.83","2021-07-21","34261126"
"7s3m","MERS-CoV","null","Stem helix","Fab22","null","1.83","2021-07-21","34261126"
"7s0b","SARS-CoV-2","Orig","RBD","N-612-056","null","1.83","2021-07-21","34261126"
"7rxd","SARS-CoV-2","none","RBD","Fab_8D3_2, Nb_RBD, MBP_PrA/G","null","1.83","2021-07-21","34261126"
"7rr0","SARS-CoV-2","Orig","RBD","PDI 222","null","1.83","2021-07-21","34261126"
"7r7n","SARS-CoV-2","none","RBD","S2D106","null","3.95","2021-07-21","34261126"
"7r6x","SARS-CoV-2","Orig","RBD","S2E12, S309, S304","null","2.95","2021-07-21","34261126"
"7r6w","SARS-CoV-2","Orig","RBD","S2X35, S309","null","1.83","2021-07-21","34261126"
"7n8i","SARS-CoV-2","Epsilon","RBD","S2L20","null","3.0","2021-07-14","34210893"
"7n8h","SARS-CoV-2","Epsilon","full","S2M11, S2L20","null","2.3","2021-07-14","34210893"
"7lrt","SARS-CoV-2","none","full","A23-58.1","null","3.54","2021-07-14","34210892"
"7lrs","SARS-CoV-2","Orig","RBD","A23-58.1","null","3.89","2021-07-14","34210892"
"7orb","SARS-CoV-2","none","RBD","COVOX-75, COVOX-253","null","2.5","2021-07-07","34242578"
"7ora","SARS-CoV-2","none","RBD","COVOX-45, COVOX-253","null","2.6","2021-07-07","34242578"
"7or9","SARS-CoV-2","Orig","RBD","COVOX-222, COVOX-278","null","2.34","2021-07-07","34242578"
"7n1y","SARS-CoV-2","Alpha","full","null","null","4.3","2021-07-07","34168070"
"7n1x","SARS-CoV-2","Alpha","full","null","null","4.0","2021-07-07","34168070"
"7n1w","SARS-CoV-2","Alpha","full","null","null","3.33","2021-07-07","34168070"
"7n1v","SARS-CoV-2","Alpha","full","null","null","3.5","2021-07-07","34168070"
"7n1u","SARS-CoV-2","Alpha","full","null","null","3.14","2021-07-07","34168070"
"7n1t","SARS-CoV-2","Beta","full","null","null","3.44","2021-07-07","34168070"
"7n1q","SARS-CoV-2","Beta","full","null","null","3.44","2021-07-07","34168070"
"7l4z","SARS-CoV-2","Orig","RBD","","Cyclic peptide","3.96","2021-06-30","34230894"
"7ej5","SARS-CoV-2","Orig","full","chAb-45","null","3.5","2021-06-23","null"
"7ej4","SARS-CoV-2","Orig","full","chAb-25","null","3.6","2021-06-23","null"
"7eb5","SARS-CoV-2","Orig","full","","null","3.4","2021-06-23","null"
"7eb4","SARS-CoV-2","Orig","full","null","null","3.5","2021-06-23","null"
"7eb3","SARS-CoV-2","Orig","full","null","null","3.6","2021-06-23","null"
"7eb0","SARS-CoV-2","Orig","full","null","null","3.6","2021-06-23","null"
"7eaz","SARS-CoV-2","Orig","full","null","null","3.5","2021-06-23","null"
"7e5y","SARS-CoV-2","Orig","RBD","2B11","null","3.59","2021-06-23","null"
"7cwt","SARS-CoV-2","Orig","full","hb27, fc05","null","3.7","2021-06-23","33262454"
"7my3","SARS-CoV-2","none","full","Nb12","null","2.9","2021-06-16","34098567"
"7my2","SARS-CoV-2","none","full","Nb30","null","2.65","2021-06-16","34098567"
"7ek6","SARS-CoV","null","S2","null","null","1.24","2021-06-09","34057039"
"7e88","SARS-CoV-2","Orig","RBD","BD-515","null","3.14","2021-06-09","34021265"
"7e86","SARS-CoV-2","Orig","RBD","BD-508","null","2.9","2021-06-09","34021265"
"7e8f","SARS-CoV-2","Kappa","NTD","604, N9, 368-2","null","3.18","2021-06-09","34021265"
"7e8c","SARS-CoV-2","Orig","full","604, N9, 368-2","null","3.16","2021-06-09","34021265"
"7e7y","SARS-CoV-2","Orig","RBD","BD-623","null","2.41","2021-06-09","34021265"
"7e7x","SARS-CoV-2","Kappa","NTD","N11","null","2.78","2021-06-09","34021265"
"7dk0","SARS-CoV-2","Orig","RBD","MW05","null","3.2","2021-06-09","null"
"7djz","SARS-CoV-2","Orig","RBD","MW01","null","2.4","2021-06-09","null"
"7cyp","SARS-CoV-2","Orig","full","HB27","null","3.5","2021-06-09","null"
"7cyh","SARS-CoV-2","Orig","RBD","HB27","null","3.9","2021-06-09","null"
"7n0h","SARS-CoV-2","none","full","Sb45","null","3.34","2021-06-02","34537245"
"7n0g","SARS-CoV-2","none","full","Sb45","null","3.02","2021-06-02","34537245"
"7mfu","SARS-CoV-2","Orig","RBD","Sb14, Sb68","null","1.7","2021-06-02","34537245"
"7dzy","SARS-CoV-2","Orig","full","2490","null","3.6","2021-06-02","34139176"
"7dzx","SARS-CoV-2","Orig","full","8D2","null","3.53","2021-06-02","34139176"
"7dzw","SARS-CoV-2","Orig","full","null","null","3.45","2021-06-02","34139176"
"7m71","SARS-CoV-2","Orig","full","5A6","null","2.66","2021-05-26","33974910"
"7m55","MERS-CoV","null","Stem helix","B6","null","1.4","2021-05-26","33981021"
"7m53","SARS-CoV","null","Stem helix","B6","null","1.4","2021-05-26","33981021"
"7m7b","SARS-CoV-2","Orig","full","3D11","null","2.95","2021-05-26","33974910"
"7m5e","MERS-CoV","null","full","null","null","2.5","2021-05-26","33981021"
"7kqe","SARS-CoV-2","Orig","full","3D11","null","2.88","2021-05-26","33974910"
"7kqb","SARS-CoV-2","Orig","full","5A6","null","2.42","2021-05-26","33974910"
"7e8m","SARS-CoV-2","Beta","RBD","P2C-1F11","null","2.09","2021-05-26","null"
"7m8j","SARS-CoV-2","Kappa","NTD","CM25","null","3.48","2021-05-19","33947773"
"7ddo","SARS-CoV-2","none","RBD","","ACE2","3.4","2021-05-19","34018203"
"7chs","SARS-CoV-2","Orig","RBD","P22A-1D1","null","2.4","2021-05-19","null"
"7chp","SARS-CoV-2","Orig","RBD","P5A-3C8","null","2.36","2021-05-19","null"
"7cho","SARS-CoV-2","Orig","RBD","P5A-1D2","null","2.56","2021-05-19","null"
"7c53","SARS-CoV-2","none","HR1","","EK1 inhibitor","2.28","2021-05-19","34326308"
"7akj","SARS-CoV","null","full","47D11","null","3.8","2021-05-19","33958322"
"7akd","SARS-CoV-2","Orig","full","47D11","null","4.0","2021-05-19","33958322"
"7nkt","SARS-CoV-2","null","RBD","NM1226","null","2.3","2021-05-12","33904225"
"7mmo","SARS-CoV-2","Orig","RBD","LY-CoV1404","null","2.43","2021-05-12","33972947"
"7mkm","SARS-CoV-2","Orig","RBD","SARS2-38","null","3.16","2021-05-12","33907753"
"7mkl","SARS-CoV-2","Orig","full","SARS2-38","null","3.2","2021-05-12","33907753"
"7mjn","SARS-CoV-2","none","full","","ACE2","3.29","2021-05-12","33914735"
"7mjm","SARS-CoV-2","none","full","","ACE2","2.83","2021-05-12","33914735"
"7mjl","SARS-CoV-2","none","RBD","ab1","null","2.95","2021-05-12","33914735"
"7mjk","SARS-CoV-2","none","full","ab1","null","2.73","2021-05-12","33914735"
"7mjj","SARS-CoV-2","none","full","ab1","null","3.32","2021-05-12","33914735"
"7mji","SARS-CoV-2","none","RBD","ab8","null","2.81","2021-05-12","33914735"
"7mjh","SARS-CoV-2","none","full","ab8","null","2.66","2021-05-12","33914735"
"7mjg","SARS-CoV-2","none","full","null","null","2.81","2021-05-12","33914735"
"7mf1","SARS-CoV-2","Orig","RBD","47D1","null","2.09","2021-05-12","33932326"
"7m3i","SARS-CoV-2","Orig","RBD","CV2-75","null","2.8","2021-05-12","34237283"
"7b27","SARS-CoV-2","null","RBD","NM1230","null","2.9","2021-05-12","33904225"
"7m8k","SARS-CoV-2","Gamma","full","null","null","3.8","2021-05-05","33887205"
"7m7w","SARS-CoV-2","Orig","RBD","S2X259, S2H97","null","2.65","2021-05-05","34261126"
"7m6i","SARS-CoV-2","Orig","full","BG1-24","null","4.0","2021-05-05","34015271"
"7m6h","SARS-CoV-2","Orig","full","BG7-20","null","4.0","2021-05-05","34015271"
"7m6g","SARS-CoV-2","none","full","BG7-15","null","3.7","2021-05-05","34015271"
"7m6f","SARS-CoV-2","none","full","BG1-22","null","3.9","2021-05-05","34015271"
"7m6e","SARS-CoV-2","none","full","BG10-19","null","3.3","2021-05-05","34015271"
"7m6d","SARS-CoV-2","Orig","RBD","BG4-25, CR3022","null","3.1","2021-05-05","34015271"
"7lx5","SARS-CoV-2","none","RBD","WNb2, WNb10","null","3.44","2021-05-05","33893175"
"7ldj","SARS-CoV-2","Orig","RBD","WNb-2","null","2.36","2021-05-05","null"
"7e23","SARS-CoV-2","Orig","RBD","CA521","null","3.3","2021-05-05","33893388"
"7ntc","SARS-CoV-2","Orig","full","P008_056 Fab","biliverdin","3.6","2021-04-28","33888467"
"7nta","SARS-CoV-2","Orig","full","null","biliverdin","3.5","2021-04-28","33888467"
"7nt9","SARS-CoV-2","Orig","full","null","biliverdin","3.36","2021-04-28","33888467"
"7b62","SARS-CoV-2","Kappa","NTD","null","biliverdin","1.82","2021-04-28","33888467"
"7b18","SARS-CoV-2","Orig","full","E, V","null","2.62","2021-04-28","33436526"
"7b14","SARS-CoV-2","Orig","RBD","Nanobody","null","3.79","2021-04-28","33436526"
"7dx4","SARS-CoV-2","Orig","RBD","FC08","ACE2","3.6","2021-04-21","null"
"7ly3","SARS-CoV-2","none","NTD","S2M28","null","3.0","2021-04-14","33761326"
"7ly2","SARS-CoV-2","none","full","S2M11, S2M28","null","2.5","2021-04-14","33761326"
"7ly0","SARS-CoV-2","none","full","S2M28","null","2.6","2021-04-14","33761326"
"7lxz","SARS-CoV-2","none","full","S2M11, S2L28","null","2.6","2021-04-14","33761326"
"7lxy","SARS-CoV-2","none","full","S2M11, S2X333","null","2.2","2021-04-14","33761326"
"7lxx","SARS-CoV-2","none","full","S2L28","null","3.0","2021-04-14","33761326"
"7lxw","SARS-CoV-2","none","full","S2X333","null","2.8","2021-04-14","33761326"
"7l58","SARS-CoV-2","Orig","full","H4","null","5.07","2021-04-14","33794145"
"7l57","SARS-CoV-2","Orig","full","2-15","null","5.87","2021-04-14","33794145"
"7l56","SARS-CoV-2","Orig","full","2-43","null","3.6","2021-04-14","33794145"
"7nxc","SARS-CoV-2","Gamma","RBD","","ACE2","3.14","2021-04-07","33852911"
"7nxb","SARS-CoV-2","Gamma","RBD","COVOX-222, EY6A","null","2.67","2021-04-07","33852911"
"7nxa","SARS-CoV-2","Beta","RBD","COVOX-222, EY6A","null","2.5","2021-04-07","33852911"
"7nx9","SARS-CoV-2","Alpha","RBD","COVOX-222, EY6A","null","2.4","2021-04-07","33852911"
"7nx8","SARS-CoV-2","none","RBD","COVOX-222, EY6A","null","1.95","2021-04-07","33852911"
"7nx7","SARS-CoV-2","none","RBD","COVOX-222, EY6A","null","2.3","2021-04-07","33852911"
"7nx6","SARS-CoV-2","Orig","RBD","COVOX-222, EY6A","null","2.25","2021-04-07","33852911"
"7e3j","SARS-CoV-2","Orig","RBD","null","dog ACE2","2.99","2021-04-07","34234119"
"7d4g","SARS-CoV-2","Kappa","RBD","FC05","null","3.9","2021-04-07","null"
"7m0j","SARS-CoV-2","none","full","null","null","3.52","2021-03-31","33758838"
"7lyq","SARS-CoV-2","Beta","full","null","null","3.34","2021-03-31","33758838"
"7lyp","SARS-CoV-2","Beta","full","null","null","4.05","2021-03-31","33758838"
"7lyo","SARS-CoV-2","Beta","full","null","null","3.32","2021-03-31","33758838"
"7lyn","SARS-CoV-2","Beta","full","null","null","3.32","2021-03-31","33758838"
"7lym","SARS-CoV-2","Beta","full","null","null","3.57","2021-03-31","34168071"
"7lyl","SARS-CoV-2","Beta","full","null","null","3.72","2021-03-31","33758838"
"7lyk","SARS-CoV-2","Beta","full","null","null","3.65","2021-03-31","33758838"
"7lww","SARS-CoV-2","Orig","full","null","null","3.0","2021-03-31","34168071"
"7lwv","SARS-CoV-2","Alpha","full","null","null","3.12","2021-03-31","34168071"
"7lwu","SARS-CoV-2","Alpha","full","null","null","3.22","2021-03-31","34168071"
"7lwt","SARS-CoV-2","Alpha","full","null","null","3.19","2021-03-31","34168071"
"7lws","SARS-CoV-2","Alpha","full","null","null","3.22","2021-03-31","33758838"
"7lwq","SARS-CoV-2","Cluster 5","full","null","null","3.44","2021-03-31","34168071"
"7lwp","SARS-CoV-2","Cluster 5","full","null","null","3.01","2021-03-31","34168071"
"7lwo","SARS-CoV-2","Cluster 5","full","null","null","2.85","2021-03-31","34168071"
"7lwn","SARS-CoV-2","Cluster 5","full","null","null","2.94","2021-03-31","34168071"
"7lwm","SARS-CoV-2","Cluster 5","full","null","null","2.83","2021-03-31","34168071"
"7lwl","SARS-CoV-2","Cluster 5","full","null","null","2.84","2021-03-31","34168071"
"7lwk","SARS-CoV-2","Cluster 5","full","null","null","2.92","2021-03-31","34168071"
"7lwj","SARS-CoV-2","Cluster 5","full","null","null","3.24","2021-03-31","34168071"
"7lwi","SARS-CoV-2","Cluster 5","full","null","null","3.07","2021-03-31","34168071"
"7lo4","SARS-CoV-2","none","RBD","","ACE2","2.46","2021-03-31","null"
"7lm9","SARS-CoV","null","full","CV38-142","null","1.53","2021-03-31","33594361"
"7lm8","SARS-CoV-2","Orig","RBD","COVA1-16, CV38-142","null","1.94","2021-03-31","33594361"
"7ljr","SARS-CoV-2","Orig","full","DH1043","null","3.66","2021-03-31","33442694"
"7krq","SARS-CoV-2","Orig","full","null","null","3.44","2021-03-31","33727252"
"7ean","SARS-CoV-2","Orig","RBD","6D6","null","1.91","2021-03-31","null"
"7dx9","SARS-CoV-2","Orig","full","","ACE2","3.6","2021-03-31","33737693"
"7dx8","SARS-CoV-2","Orig","full","","ACE2","2.9","2021-03-31","33737693"
"7dx7","SARS-CoV-2","Orig","full","","ACE2","3.4","2021-03-31","33737693"
"7dx6","SARS-CoV-2","Orig","full","","ACE2","3.0","2021-03-31","33737693"
"7dx5","SARS-CoV-2","Orig","full","null","null","3.3","2021-03-31","33737693"
"7dx3","SARS-CoV-2","Orig","full","null","null","3.5","2021-03-31","33737693"
"7dx2","SARS-CoV-2","Orig","full","null","null","3.3","2021-03-31","33737693"
"7dx1","SARS-CoV-2","Orig","full","null","null","3.1","2021-03-31","33737693"
"7dx0","SARS-CoV-2","Orig","full","null","null","3.2","2021-03-31","33737693"
"7dwz","SARS-CoV-2","Orig","full","null","null","3.3","2021-03-31","33737693"
"7dwy","SARS-CoV-2","Orig","full","null","null","2.7","2021-03-31","33737693"
"7dwx","SARS-CoV-2","Orig","full","null","null","8.3","2021-03-31","33737693"
"7deu","SARS-CoV-2","Orig","RBD","PR953","null","2.1","2021-03-31","33961621"
"7det","SARS-CoV-2","Orig","RBD","PR961","null","2.2","2021-03-31","33961621"
"7deo","SARS-CoV-2","Orig","RBD","PR1077","null","2.5","2021-03-31","33961621"
"7lqw","SARS-CoV-2","Orig","full","2-17","null","4.47","2021-03-24","33789084"
"7lqv","SARS-CoV-2","Orig","full","4-8","null","3.25","2021-03-24","null"
"7l2f","SARS-CoV-2","Orig","full","5-24","null","3.9","2021-03-24","33789084"
"7l2e","SARS-CoV-2","Orig","full","4-18","null","2.97","2021-03-24","33789084"
"7l2d","SARS-CoV-2","Orig","full","1-87","null","3.55","2021-03-24","33789084"
"7krs","SARS-CoV-2","Orig","full","null","null","3.2","2021-03-24","33727252"
"7krr","SARS-CoV-2","Orig","full","null","null","3.5","2021-03-24","33727252"
"7e7d","SARS-CoV-2","Wild","full","null","null","3.2","2021-03-24","33692215"
"7e7b","SARS-CoV-2","none","full","null","null","2.6","2021-03-24","33692215"
"7lss","SARS-CoV-2","Orig","full","2-7","null","3.72","2021-03-17","34111408"
"7ls9","SARS-CoV-2","Orig","full","1-57","null","3.42","2021-03-17","34111408"
"7laa","SARS-CoV-2","Orig","full","DH1041","null","3.42","2021-03-17","34242577"
"7eam","SARS-CoV-2","Orig","RBD","7D6","null","1.4","2021-03-17","null"
"7lab","SARS-CoV-2","Orig","full","DH1052","null","2.97","2021-03-10","34242577"
"7d03","SARS-CoV-2","Orig","full","P5A-2G7","null","3.2","2021-03-10","33731853"
"7d00","SARS-CoV-2","Orig","full","P5A-1B8","null","3.0","2021-03-10","33731853"
"7d0d","SARS-CoV-2","Orig","full","P5A-3C12_2B","null","3.8","2021-03-10","33731853"
"7d0c","SARS-CoV-2","Orig","full","P5A-3A1","null","3.4","2021-03-10","33731853"
"7d0b","SARS-CoV-2","Orig","full","P5A-3C12_1B","null","3.9","2021-03-10","33731853"
"7czz","SARS-CoV-2","Orig","full","P5A-2F11_3B","null","3.2","2021-03-10","33731853"
"7czy","SARS-CoV-2","Orig","full","P5A-2F11_2B","null","3.3","2021-03-10","33731853"
"7czx","SARS-CoV-2","Orig","full","P5A-1B9","null","2.8","2021-03-10","33731853"
"7czw","SARS-CoV-2","Orig","full","P5A-2G7","null","2.8","2021-03-10","33731853"
"7czv","SARS-CoV-2","Orig","full","P5A-1B6_3B","null","3.3","2021-03-10","33731853"
"7czu","SARS-CoV-2","Orig","full","P5A-1B6_2B","null","3.4","2021-03-10","33731853"
"7czt","SARS-CoV-2","Orig","full","P5A-2G9","null","2.7","2021-03-10","33731853"
"7czs","SARS-CoV-2","Orig","full","P5A-1B8_3B","null","3.6","2021-03-10","33731853"
"7czr","SARS-CoV-2","Orig","full","P5A-1B8_2B","null","3.5","2021-03-10","33731853"
"7czq","SARS-CoV-2","Orig","full","P2B-1A10","null","2.8","2021-03-10","33731853"
"7czp","SARS-CoV-2","Orig","full","P2B-1A1","null","3.0","2021-03-10","33731853"
"7neh","SARS-CoV-2","Orig","RBD","COVOX-269","null","1.77","2021-03-03","33743891"
"7neg","SARS-CoV-2","Alpha","RBD","COVOX-269","null","2.19","2021-03-03","33743891"
"7ndd","SARS-CoV-2","Orig","full","COVOX-159","null","4.2","2021-03-03","33756110"
"7ndc","SARS-CoV-2","Orig","full","COVOX-159","null","4.1","2021-03-03","33756110"
"7ndb","SARS-CoV-2","Orig","full","COVOX-253H165L","null","4.6","2021-03-03","33756110"
"7nda","SARS-CoV-2","Orig","full","COVOX-253H55L","null","3.3","2021-03-03","33756110"
"7nd9","SARS-CoV-2","Orig","full","COVOX-253H55L","null","2.8","2021-03-03","33756110"
"7nd8","SARS-CoV-2","Orig","full","COVOX-384","null","3.5","2021-03-03","33756110"
"7nd7","SARS-CoV-2","Orig","full","COVOX-316","null","3.6","2021-03-03","33756110"
"7nd6","SARS-CoV-2","Orig","full","COVOX-40","null","7.3","2021-03-03","33756110"
"7nd5","SARS-CoV-2","Orig","full","COVOX-150","null","3.4","2021-03-03","33756110"
"7nd4","SARS-CoV-2","Orig","full","COVOX-88","null","3.6","2021-03-03","33756110"
"7nd3","SARS-CoV-2","Orig","full","COVOX-40","null","3.7","2021-03-03","33756110"
"7lop","SARS-CoV-2","Orig","RBD","CV05-163, CR3022","null","2.25","2021-03-03","34016740"
"7cn4","BatCoV RaTG13","null","full","null","null","2.93","2021-03-03","33707453"
"7bep","SARS-CoV-2","Orig","RBD","COVOX-384, S309","null","2.61","2021-03-03","33756110"
"7beo","SARS-CoV-2","Orig","RBD","COVOX-253H55L, COVOX-75","null","3.19","2021-03-03","33756110"
"7ben","SARS-CoV-2","Orig","RBD","COVOX-253, COVOX-75","null","2.5","2021-03-03","33756110"
"7bem","SARS-CoV-2","Orig","RBD","COVOX-269","null","2.52","2021-03-03","33756110"
"7bel","SARS-CoV-2","Orig","RBD","COVOX-88, COVOX-45","null","2.53","2021-03-03","33756110"
"7bek","SARS-CoV-2","Orig","RBD","COVOX-158","null","2.04","2021-03-03","33756110"
"7bej","SARS-CoV-2","Orig","RBD","COVOX-158","null","2.42","2021-03-03","33756110"
"7bei","SARS-CoV-2","Orig","RBD","COVOX-150","null","2.3","2021-03-03","33756110"
"7beh","SARS-CoV-2","Orig","RBD","COVOX-316","null","2.3","2021-03-03","33756110"
"7l7k","SARS-CoV-2","Orig","full","null","null","3.29","2021-02-24","33524990"
"7l7f","SARS-CoV-2","none","RBD","","ACE2","3.24","2021-02-24","33524990"
"7cac","SARS-CoV-2","none","full","H014","null","3.55","2021-02-24","32703908"
"7l0n","SARS-CoV-2","Orig","RBD","S304, S309","ACE2","2.78","2021-02-17","33621484"
"7dpm","SARS-CoV-2","Orig","RBD","MW06","null","3.3","2021-02-17","34313527"
"7d30","SARS-CoV-2","Orig","RBD","MR17, SR31","null","2.1","2021-02-17","33657135"
"7d2z","SARS-CoV-2","Orig","RBD","SR31","null","1.97","2021-02-17","33657135"
"7bh9","SARS-CoV-2","none","RBD","","ACE2","2.9","2021-02-17","34400835"
"7l5b","SARS-CoV-2","Orig","RBD","2-15","null","3.18","2021-02-10","33794145"
"7l2c","SARS-CoV-2","Kappa","NTD","2-51","null","3.65","2021-02-10","33789084"
"7ks9","SARS-CoV-2","Orig","full","910-30","null","4.75","2021-02-10","33442681"
"7kml","SARS-CoV-2","none","full","15033-7","null","3.8","2021-02-10","34329642"
"7kmk","SARS-CoV-2","none","full","15033-7","null","4.2","2021-02-10","34329642"
"7klh","SARS-CoV-2","Orig","RBD","15033-7","null","3.0","2021-02-10","34329642"
"7klg","SARS-CoV-2","Orig","RBD","15033","null","3.2","2021-02-10","34329642"
"7b17","SARS-CoV-2","Orig","RBD","VE, E","null","4.01","2021-02-10","33436526"
"7l3n","SARS-CoV-2","none","full","LY-CoV555","null","3.27","2021-02-03","33024963"
"7kzb","SARS-CoV-2","Orig","RBD","CR3014-C8, CR3022-B6","null","2.83","2021-02-03","34024246"
"7kxk","SARS-CoV-2","none","full","15033-7","null","5.0","2021-02-03","34329642"
"7kxj","SARS-CoV-2","none","full","15033-7","null","6.4","2021-02-03","34329642"
"7klw","SARS-CoV-2","Orig","RBD","Sb45, Sb68","null","2.6","2021-02-03","34537245"
"7kgk","SARS-CoV-2","Orig","RBD","Sb16","null","2.6","2021-02-03","34537245"
"7kgj","SARS-CoV-2","Orig","RBD","Sb45","null","2.3","2021-02-03","34537245"
"7bno","SARS-CoV-2","Orig","full","null","null","4.2","2021-02-03","33579792"
"7bnn","SARS-CoV-2","Orig","full","null","null","3.5","2021-02-03","33579792"
"7bnm","SARS-CoV-2","Orig","full","null","null","3.6","2021-02-03","33579792"
"7ld1","SARS-CoV-2","Orig","full","DH1047","null","3.4","2021-01-27","34242577"
"7lcn","SARS-CoV-2","Orig","full","DH1050.1","null","3.35","2021-01-27","34242577"
"7kmi","SARS-CoV-2","Orig","RBD","LY-CoV481","null","1.73","2021-01-27","33820835"
"7kmh","SARS-CoV-2","Orig","RBD","LY-CoV488","null","1.72","2021-01-27","33820835"
"7kmg","SARS-CoV-2","Orig","RBD","LY-CoV555","null","2.16","2021-01-27","33820835"
"7cwl","SARS-CoV-2","Orig","full","P17","null","3.8","2021-01-27","33262452"
"7c8j","SARS-CoV-2","Orig","RBD","null","bat ACE2","3.18","2021-01-27","33335073"
"7ksg","SARS-CoV-2","Orig","full","E","null","3.33","2021-01-20","33436526"
"7kn7","SARS-CoV-2","Orig","RBD","CC12.3/W","null","2.73","2021-01-20","33436526"
"7kn6","SARS-CoV-2","Orig","RBD","CC12.3/V","null","2.55","2021-01-20","33436526"
"7kn5","SARS-CoV-2","Orig","RBD","E/U","null","1.87","2021-01-20","33436526"
"7cm4","SARS-CoV-2","Orig","RBD","CT-P59","null","2.71","2021-01-20","33436577"
"7l09","SARS-CoV-2","Orig","full","2G12","null","3.1","2020-12-30","34019795"
"7l06","SARS-CoV-2","Orig","full","2G12","null","3.3","2020-12-30","34019795"
"7l02","SARS-CoV-2","Orig","full","2G12","null","3.2","2020-12-30","34019795"
"7dmu","SARS-CoV-2","Orig","RBD","","ACE2","3.2","2020-12-23","34155214"
"6zlr","SARS-CoV-2","null","RBD","CR3022","null","3.1","2020-12-23","33381049"
"7kni","SARS-CoV-2","Orig","full","","ACE2","3.91","2020-12-16","33271067"
"7knh","SARS-CoV-2","Orig","full","","ACE2","3.74","2020-12-16","33271067"
